g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-1.419285
Position (m),	Time (s)
219.066837,	0.000000
218.635856,	0.000200
218.192562,	0.000400
217.724640,	0.000600
217.293659,	0.000800
216.850365,	0.001000
216.419384,	0.001200
215.963776,	0.001400
215.520482,	0.001600
215.064874,	0.001800
214.633893,	0.002000
214.178285,	0.002200
213.747305,	0.002400
213.279383,	0.002600
212.860716,	0.002800
212.380481,	0.003000
211.961814,	0.003200
211.506206,	0.003400
211.087540,	0.003600
210.570363,	0.003800
210.139383,	0.004000
209.696089,	0.004200
209.277422,	0.004400
208.797187,	0.004600
208.378520,	0.004800
207.910599,	0.005000
207.504246,	0.005200
206.974756,	0.005400
206.556089,	0.005600
206.100482,	0.005800
205.694129,	0.006000
205.201580,	0.006200
204.782914,	0.006400
204.314992,	0.006600
203.859385,	0.006800
203.366836,	0.007000
202.948170,	0.007200
202.504876,	0.007400
202.049268,	0.007600
201.581347,	0.007800
201.162681,	0.008000
200.682446,	0.008200
200.214525,	0.008400
199.685035,	0.008600
199.290996,	0.008800
198.823075,	0.009000
198.034997,	0.009200
197.862605,	0.009400
197.443939,	0.009600
196.963705,	0.009800
196.532725,	0.010000
196.015549,	0.010200
195.584569,	0.010400
195.153589,	0.010600
194.611786,	0.010800
194.230061,	0.011000
193.712885,	0.011200
193.318847,	0.011400
192.838612,	0.011600
192.333750,	0.011800
191.915084,	0.012000
191.459477,	0.012200
190.966929,	0.012400
190.523635,	0.012600
190.055715,	0.012800
189.587794,	0.013000
189.082932,	0.013200
188.676580,	0.013400
188.220973,	0.013600
187.654542,	0.013800
187.223563,	0.014000
186.706387,	0.014200
186.312349,	0.014400
185.819801,	0.014600
185.376508,	0.014800
184.896274,	0.015000
184.403726,	0.015200
183.714159,	0.015400
183.406316,	0.015600
182.987650,	0.015800
182.507416,	0.016000
182.064123,	0.016200
181.633144,	0.016400
181.128282,	0.016600
180.721930,	0.016800
180.167814,	0.017000
179.761462,	0.017200
179.231973,	0.017400
178.751739,	0.017600
178.271505,	0.017800
177.729703,	0.018000
177.347978,	0.018200
176.695353,	0.018400
176.338256,	0.018600
175.882649,	0.018800
175.451670,	0.019000
174.946809,	0.019200
174.429634,	0.019400
173.986341,	0.019600
173.543048,	0.019800
173.038187,	0.020000
172.508699,	0.020200
172.040779,	0.020400
171.585172,	0.020600
171.129566,	0.020800
170.575450,	0.021000
170.169098,	0.021200
169.639610,	0.021400
169.122435,	0.021600
168.716084,	0.021800
168.223536,	0.022000
167.694048,	0.022200
167.312324,	0.022400
166.758208,	0.022600
166.191779,	0.022800
165.785427,	0.023000
165.268253,	0.023200
164.812647,	0.023400
164.258531,	0.023600
163.864493,	0.023800
163.371946,	0.024000
162.854772,	0.024200
162.362225,	0.024400
161.931246,	0.024600
161.377131,	0.024800
160.896897,	0.025000
160.392037,	0.025200
159.911803,	0.025400
159.468511,	0.025600
158.939023,	0.025800
158.471103,	0.026000
157.929302,	0.026200
157.486010,	0.026400
157.042717,	0.026600
156.513229,	0.026800
156.008369,	0.027000
155.306490,	0.027200
154.949393,	0.027400
154.444533,	0.027600
154.025868,	0.027800
153.557949,	0.028000
153.090029,	0.028200
152.597482,	0.028400
152.018740,	0.028600
151.538507,	0.028800
151.033647,	0.029000
150.553414,	0.029200
149.974671,	0.029400
149.556007,	0.029600
149.051146,	0.029800
148.583227,	0.030000
148.041426,	0.030200
147.548879,	0.030400
147.056333,	0.030600
146.526845,	0.030800
146.058926,	0.031000
145.554066,	0.031200
145.073833,	0.031400
144.532032,	0.031600
144.064113,	0.031800
143.546939,	0.032000
142.980511,	0.032200
142.549533,	0.032400
141.983105,	0.032600
141.552127,	0.032800
141.022639,	0.033000
140.542407,	0.033200
140.012919,	0.033400
139.495746,	0.033600
139.003200,	0.033800
138.461399,	0.034000
137.993480,	0.034200
137.476306,	0.034400
136.959133,	0.034600
136.454273,	0.034800
135.937099,	0.035000
135.456867,	0.035200
134.952007,	0.035400
134.447147,	0.035600
133.917660,	0.035800
133.400487,	0.036000
132.895627,	0.036200
132.390768,	0.036400
131.898222,	0.036600
131.344107,	0.036800
130.863875,	0.037000
130.322075,	0.037200
129.878783,	0.037400
129.312355,	0.037600
128.758241,	0.037800
128.290323,	0.038000
127.785463,	0.038200
127.292917,	0.038400
126.751117,	0.038600
126.197003,	0.038800
125.704457,	0.039000
125.150343,	0.039200
124.645484,	0.039400
124.140624,	0.039600
123.648079,	0.039800
123.130906,	0.040000
122.601419,	0.040200
122.096560,	0.040400
121.493191,	0.040600
121.062214,	0.040800
120.557354,	0.041000
119.904731,	0.041200
119.461440,	0.041400
118.956581,	0.041600
118.414781,	0.041800
117.909922,	0.042000
117.417376,	0.042200
116.850949,	0.042400
116.333776,	0.042600
115.828917,	0.042800
115.311744,	0.043000
114.782258,	0.043200
114.252772,	0.043400
113.710972,	0.043600
113.206113,	0.043800
112.036317,	0.044000
112.147140,	0.044200
111.629968,	0.044400
111.063540,	0.044600
110.570995,	0.044800
110.029195,	0.045000
109.524336,	0.045200
108.957909,	0.045400
108.502305,	0.045600
107.923564,	0.045800
107.369451,	0.046000
106.815338,	0.046200
106.347420,	0.046400
105.817934,	0.046600
105.263820,	0.046800
104.685080,	0.047000
104.180221,	0.047200
103.699990,	0.047400
103.145876,	0.047600
102.616390,	0.047800
102.025336,	0.048000
101.532791,	0.048200
101.015619,	0.048400
100.498447,	0.048600
99.932020,	0.048800
99.402534,	0.049000
98.848421,	0.049200
98.281994,	0.049400
97.814077,	0.049600
97.247650,	0.049800
96.668910,	0.050000
96.164051,	0.050200
95.659193,	0.050400
95.092766,	0.050600
94.575594,	0.050800
94.009168,	0.051000
93.455055,	0.051200
92.950196,	0.051400
92.396084,	0.051600
91.866598,	0.051800
91.189349,	0.052000
90.758372,	0.052200
90.241200,	0.052400
89.687088,	0.052600
89.120661,	0.052800
88.566548,	0.053000
88.061690,	0.053200
87.482950,	0.053400
86.965778,	0.053600
86.448607,	0.053800
85.882180,	0.054000
85.328068,	0.054200
84.798582,	0.054400
83.875061,	0.054600
83.665730,	0.054800
83.148558,	0.055000
82.569818,	0.055200
82.040333,	0.055400
81.486221,	0.055600
80.956735,	0.055800
80.402623,	0.056000
79.848510,	0.056200
79.306712,	0.056400
78.752599,	0.056600
78.223114,	0.056800
77.656688,	0.057000
76.991753,	0.057200
76.548463,	0.057400
75.994351,	0.057600
75.378671,	0.057800
74.849185,	0.058000
74.319700,	0.058200
73.802529,	0.058400
73.211476,	0.058600
72.645050,	0.058800
72.090938,	0.059000
71.499885,	0.059200
70.982713,	0.059400
70.440915,	0.059600
69.677471,	0.059800
69.320377,	0.060000
68.753951,	0.060200
68.175212,	0.060400
67.608786,	0.060600
67.091615,	0.060800
66.500562,	0.061000
65.971077,	0.061200
65.367711,	0.061400
64.850540,	0.061600
64.271800,	0.061800
63.717688,	0.062000
63.138949,	0.062200
62.609465,	0.062400
62.043039,	0.062600
61.476613,	0.062800
60.922502,	0.063000
60.368390,	0.063200
59.801964,	0.063400
59.173971,	0.063600
58.644486,	0.063800
58.115002,	0.064000
57.499322,	0.064200
56.945210,	0.064400
56.391098,	0.064600
55.172052,	0.064800
55.245934,	0.065000
54.667195,	0.065200
54.137711,	0.065400
53.558972,	0.065600
52.943292,	0.065800
52.426121,	0.066000
51.847382,	0.066200
51.231703,	0.066400
50.702218,	0.066600
50.135793,	0.066800
49.569368,	0.067000
48.978316,	0.067200
48.424204,	0.067400
47.820838,	0.067600
47.266727,	0.067800
46.687988,	0.068000
46.133877,	0.068200
45.567451,	0.068400
44.939458,	0.068600
44.385347,	0.068800
43.806608,	0.069000
43.190929,	0.069200
42.649131,	0.069400
42.119647,	0.069600
41.306950,	0.069800
40.949856,	0.070000
40.346491,	0.070200
39.755439,	0.070400
39.213641,	0.070600
38.597962,	0.070800
37.969969,	0.071000
37.477426,	0.071200
36.874060,	0.071400
36.319949,	0.071600
35.691956,	0.071800
35.125531,	0.072000
34.509852,	0.072200
33.968055,	0.072400
33.377003,	0.072600
32.810578,	0.072800
32.207213,	0.073000
31.628474,	0.073200
31.037422,	0.073400
30.421743,	0.073600
29.867632,	0.073800
29.301208,	0.074000
28.697842,	0.074200
28.131418,	0.074400
27.552680,	0.074600
26.949314,	0.074800
26.345949,	0.075000
25.742584,	0.075200
25.225414,	0.075400
24.572794,	0.075600
23.994056,	0.075800
23.415318,	0.076000
22.811953,	0.076200
22.245528,	0.076400
21.629849,	0.076600
21.075739,	0.076800
20.484687,	0.077000
19.881322,	0.077200
19.277957,	0.077400
18.699219,	0.077600
18.120481,	0.077800
17.480175,	0.078000
16.901437,	0.078200
